STUDENT_IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE1,STDNT_TEST_ENTRANCE2,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,CORE_COURSE_NAME_4_F,CORE_COURSE_GRADE_4_F,CORE_COURSE_NAME_5_F,CORE_COURSE_GRADE_5_F,CORE_COURSE_NAME_6_F,CORE_COURSE_GRADE_6_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,CORE_COURSE_NAME_4_S,CORE_COURSE_GRADE_4_S,CORE_COURSE_NAME_5_S,CORE_COURSE_GRADE_5_S,CORE_COURSE_NAME_6_S,CORE_COURSE_GRADE_6_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_CD,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_CD,MOTHER_HI_EDU_DESC,DEGREE_GROUP_CD,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED,credit_momentum,credit_momentum_label,gateway_struggle,gateway_performance,extreme_unmet_need,unmet_need_segment,low_earned_hours,risk_score,risk_category,gpa_quartile,test_quartile,weak_preparation,efc_segment,financial_profile,gross_need_quartile,unmet_need_quartile,net_price_category,unmet_need_normalized,efc_normalized,financial_stress_score,financial_stress_level,revenue_if_retained,revenue_loss_if_not_returned,full_time_first_term,full_time_label,credit_intensity,second_term_enrolled,second_term_status,has_both_terms,credit_change,credit_momentum_trend,first_term_year,first_term_month,admission_season,cohort,father_first_gen,mother_first_gen,first_gen,first_gen_label,residency_label,distance_category,off_campus,out_of_state,demographic_disadvantage_score,demographic_disadvantage_level
7808615,18,F,BGD 1,Y,N,Undeclared,N,,1150.0,1150.0,200708,ANTH 1105,A,ARTH 1100,A,ENGL 1102,A,PSYC 1101,A,,,,,200802,CHEM 1151,A,CHEM 1151L,A,COMM 1110,A,ITDS 2749,A,,,,,On Campus,0,150.0,4.0,SCHOOL 50,,No Information,,No Information,B,Bachelors,16,16,14.0,14.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q4-Highest,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,12000,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,-2.0,Minor Drop (1-3),2007,8,Summer,Summer 2007,0,0,0,Continuing-Generation,In-State,Distant (100-300),0,0,0,No Disadvantage
7830063,19,F,BGD 1,N,N,Undeclared,N,26.0,,1190.0,200808,ANTH 1105,A,GERM 1002,A,ITDS 2735,A,MATH 1125,A,THEA 1100,A,POLS 1101,A,200902,ECON 2105,A,ENGL 1102,A,,,,,,,,,Off Campus,1,69.0,2.89,SCHOOL 389,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,18,18,18.0,18.0,570000,1355760,785760,459300.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q2-Below Avg,Q4-Highest,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q3-Moderate Unmet,Expensive,0.5875323229042314,0.13096130961309613,1.4565710132911351,High Stress,12000,0,1,Full-Time (≥12 hrs),Heavy Load (18+),1,Enrolled 2nd Term,True,0.0,Stable (±1),2008,8,Summer,Summer 2008,0,0,0,Continuing-Generation,Out-of-State,Regional (25-100),0,1,1,Single Factor
7847538,18,M,BGD 1,Y,N,Mathematics,N,,1020.0,1030.0,201008,ANTH 1105,A,ENGL 1101,A,HIST 2111,A,MATH 1111,A,SOCI 1101,A,,,201102,ENGL 1102,A,ENVS 1105,A,MUSC 1100,A,,,,,,,On Campus,1,150.0,3.39,SCHOOL 82,2.0,High School,4.0,Other/Unknown,B,Bachelors,15,15,14.0,14.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q3-Above Avg,Q3-Above Avg,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,-1.0,Minor Drop (1-3),2010,8,Summer,Summer 2010,1,0,0,Continuing-Generation,In-State,Distant (100-300),0,0,0,No Disadvantage
8006429,18,M,BGD 1,Y,N,Undeclared,N,,1210.0,1220.0,200708,ANTH 1107,A,COMM 1110,A,,,,,,,,,200802,ENGL 1102,A,HIST 2112,A,LEAD 1705,A,MUSC 1100,A,,,,,On Campus,1,150.0,2.93,SCHOOL 180,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,13,13,14.0,14.0,0,0,0,0.0,0,Behind (<15 hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q2-Below Avg,Q4-Highest,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Standard (12-14),1,Enrolled 2nd Term,True,1.0,Stable (±1),2007,8,Summer,Summer 2007,0,0,0,Continuing-Generation,In-State,Distant (100-300),0,0,0,No Disadvantage
7962680,18,F,BGD 1,Y,N,Art,N,,1200.0,1190.0,200808,ANTH 1107,A,ARTH 1100,A,CPSC 1105,A,MATH 1111,A,,,,,200902,COMM 1110,A,ENGL 1101,A,HIST 2111,A,PSYC 1101,A,,,,,Off Campus,1,69.0,3.86,SCHOOL 2,3.0,College/Beyond,2.0,High School,B,Bachelors,12,12,12.0,12.0,835920,1355760,519840,278340.0,0,Behind (<15 hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q4-Highest,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q2-Low Need,Q3-Moderate Unmet,Affordable,0.5239200037121248,0.08664086640866409,1.4372791373034608,High Stress,12000,0,1,Full-Time (≥12 hrs),Standard (12-14),1,Enrolled 2nd Term,True,0.0,Stable (±1),2008,8,Summer,Summer 2008,0,1,0,Continuing-Generation,In-State,Regional (25-100),0,0,0,No Disadvantage
7815697,18,M,BGD 1,Y,N,Political Science,N,,1050.0,1070.0,201008,ARAB 1001,A,HIST 2112,A,MATH 1101,A,MUSC 1100,A,PSYC 1101,A,,,201102,BIOL 1215K,A,ENGL 1101,A,ITDS 1156,A,POLS 1101,A,,,,,Off Campus,1,69.0,4.0,SCHOOL 5,2.0,High School,3.0,College/Beyond,B,Bachelors,15,15,16.0,16.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q3-Above Avg,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,1.0,Stable (±1),2010,8,Summer,Summer 2010,1,0,0,Continuing-Generation,In-State,Regional (25-100),0,0,0,No Disadvantage
7838856,18,F,BGD 1,Y,N,Biology,N,,580.0,590.0,200508,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,HIST 2111,A,MATH 1113,A,200602,ENGL 1102,A,ITDS 2735,A,,,,,,,,,Off Campus,1,0.0,3.93,SCHOOL 2,,No Information,,No Information,B,Bachelors,16,16,15.0,15.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q1-Lowest,1,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,-1.0,Minor Drop (1-3),2005,8,Summer,Summer 2005,0,0,0,Continuing-Generation,In-State,Local (<25 mi),0,0,0,No Disadvantage
7960448,18,F,BGD 1,Y,N,Biology,N,,750.0,740.0,200508,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,,,,,200602,ENGL 1102,A,ITDS 2735,A,,,,,,,,,Off Campus,1,0.0,4.0,SCHOOL 130,,No Information,,No Information,B,Bachelors,16,16,15.0,15.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q1-Lowest,1,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,-1.0,Minor Drop (1-3),2005,8,Summer,Summer 2005,0,0,0,Continuing-Generation,In-State,Local (<25 mi),0,0,0,No Disadvantage
7944779,18,F,BGD 3,Y,N,Accounting,N,,1060.0,1070.0,200508,ARTH 1100,A,COMM 1110,A,ITDS 2735,A,POLS 1101,A,,,,,200602,ECON 2105,A,ENGL 1102,A,MATH 1111,A,,,,,,,Off Campus,1,150.0,4.0,SCHOOL 54,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,16,16,15.0,15.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q3-Above Avg,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,-1.0,Minor Drop (1-3),2005,8,Summer,Summer 2005,0,0,0,Continuing-Generation,In-State,Distant (100-300),0,0,0,No Disadvantage
7902044,18,F,BGD 1,Y,N,Undeclared,N,,,,200608,ARTH 1100,A,COMM 1110,A,ENGL 1101,A,MATH 1111,A,,,,,200702,ENGL 1102,A,HIST 2111,A,LEAD 1705,A,PSYC 1101,A,,,,,Off Campus,1,69.0,3.69,SCHOOL 189,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,16,16,14.0,14.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,-2.0,Minor Drop (1-3),2006,8,Summer,Summer 2006,0,0,0,Continuing-Generation,In-State,Regional (25-100),0,0,0,No Disadvantage
7978363,18,M,BGD 1,N,N,Criminal Justice,N,27.0,1060.0,1220.0,200708,ARTH 1100,A,ENGL 1101,A,HIST 1111,A,MATH 1101,A,POLS 1101,A,,,200802,ENGL 1102,A,ENVS 1105,A,HIST 2111,A,,,,,,,Off Campus,1,4501.0,3.34,SCHOOL 342,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,15,15,18.0,15.0,203040,1264860,1061820,203040.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q3-Above Avg,Q4-Highest,0,High EFC (>$810k),High EFC / Manageable (<$469k),Q1-Lowest Need,Q3-Moderate Unmet,Affordable,0.4974500234116957,0.17697176971769718,1.3204782536939985,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,0.0,Stable (±1),2007,8,Summer,Summer 2007,0,0,0,Continuing-Generation,Out-of-State,Very Distant (300+),0,1,1,Single Factor
